Country,Population,GDP,PPP,Homicides,Suicides,Homicides (F),Suicides (F),Accidents (F),Legal Int (F),Und (F)
El Salvador,6822378,33660000000,4934,3423,411,2795,8,3,0,0
Colombia,43593035,374400000000,8589,18024,2188,14282,574,61,273,457
Trinidad and Tobago,1065842,21060000000,19759,399,141,278,2,1,18,2
Guatemala,12293545,61380000000,4993,4300,300,3437,32,34,0,1270
Venezuela,25730435,186300000000,7240,8822,945,7869,142,48,143,4224
Brazil,188078227,1655000000000,8800,49165,8643,34921,1138,404,534,897
Puerto Rico,3927188,75820000000,19306,724,266,633,45,29,0,0
Ecuador,13547510,61520000000,4541,2348,900,1547,54,11,0,4
South Africa,44187637,587500000000,13296,5375,515,224,43,380,0,5479
Panama,3191319,26160000000,8197,380,186,266,21,3,8,1
Paraguay,6506464,31260000000,4804,657,254,385,57,29,14,25
Mexico,107449525,1149000000000,10693,10371,4267,5684,590,265,0,397
Latvia,2287948,36490000000,15949,218,487,15,33,0,0,4
Costa Rica,4075261,50890000000,12488,326,351,212,57,5,0,11
Lithuania,3394082,54900000000,16175,255,1049,13,23,1,0,8
Estonia,1343547,26850000000,19984,99,247,9,14,1,0,5
Republic of Moldova,3585209,9066000000,2529,263,637,20,4,5,0,1
Nicaragua,5570129,17090000000,3068,378,319,188,15,15,0,11
Kyrgyzstan,5164206,10730000000,2078,337,465,41,6,10,0,5
United States of America,299398484,13060000000000,43621,18574,33300,12792,16883,642,360,220
Chile,16134219,202700000000,12563,921,1795,290,138,10,0,0
Thailand,64631595,596500000000,9229,3359,3612,2308,141,44,2,879
Mauritius,1215619,17020000000,14001,63,118,4,1,0,0,1
Cuba,11382820,46220000000,4061,576,1376,46,34,9,3,7
Argentina,39921833,608800000000,15250,1962,3119,914,835,85,4,621
Sri Lanka,20222240,95460000000,4721,651,4015,162,45,59,0,1
Israel,7053707,170300000000,24143,216,367,49,81,20,0,1
TFYR Macedonia,2040228,16960000000,8313,52,166,25,19,6,0,0
Romania,21584365,202200000000,9368,496,2721,11,18,12,0,7
Serbia,7411569,44830000000,6049,154,1444,63,177,6,0,12
Finland,5266268,175200000000,33268,107,1062,17,183,4,0,2
Hungary,10071370,175000000000,17376,191,2461,9,69,6,0,1
Bulgaria,7699020,79050000000,10268,144,977,27,75,25,0,8
Croatia,4440022,46220000000,10410,81,798,41,93,5,0,0
Kuwait,2418393,55960000000,23139,40,48,15,1,0,0,0
Republic of Korea,48887027,1196000000000,24465,781,10653,8,22,5,0,8
New Zealand,4184500,106900000000,25547,65,527,8,48,2,0,0
Poland,38132277,554500000000,14541,570,5805,25,41,6,1,25
Peru,28302603,186600000000,6593,417,229,119,8,256,1,62
Canada,33098932,1181000000000,35681,483,3499,164,586,17,7,5
Belgium,10547962,342500000000,32471,146,1935,31,207,1,0,17
Georgia,4398000,18160000000,4129,54,72,43,2,2,0,19
Malaysia,24385858,313200000000,12844,279,63,21,0,3,0,33
Czech Republic,10266646,225500000000,21964,106,1400,19,164,6,0,31
Norway,4660677,213600000000,45830,45,532,10,87,1,0,0
Italy,58941498,1756000000000,29792,533,3701,262,459,64,0,22
Sweden,9080504,290100000000,31948,79,1197,13,121,5,1,0
United Kingdom,60587349,1928000000000,31822,524,8244,102,260,10,4,26
Spain,44068244,1109000000000,25166,376,3247,82,181,23,0,7
Austria,8281948,284100000000,34304,67,1297,10,228,1,0,3
Netherlands,16346242,529600000000,32399,129,1525,31,50,0,0,1
Jamaica,2758124,12840000000,4655,19,0,0,0,191,0,0
France,61597642,1902000000000,30878,415,10423,111,1578,53,0,299
Denmark,5434567,202100000000,37188,36,650,12,63,2,0,2
Australia,20394791,674600000000,33077,135,1673,26,147,55,0,0
Slovenia,2008516,47010000000,23405,13,529,3,53,0,0,0
Germany,82365810,2632000000000,31955,484,9775,65,799,14,4,75
Hong Kong SAR,6857100,259100000000,37786,35,1042,0,1,0,0,0
Japan,126154000,4218000000000,33435,582,29923,6,41,4,0,4
Egypt,72010572,334400000000,4644,75,43,25,5,56,0,23
Switzerland,7483935,255500000000,34140,0,0,0,0,0,0,0
Slovakia,5391184,99190000000,18399,0,0,0,0,0,0,0
Russian Federation,142487260,1746000000000,12254,0,0,0,0,0,0,0
Ukraine,46607431,364300000000,7816,0,0,0,0,0,0,0
Armenia,3230086,16940000000,5244,0,0,0,0,0,0,0
